Exam_Score,Attendance,Hours_Studied,Sleep_Hours,Access_to_Resources,Cluster
72.0,97.0,19.0,6.0,Medium,1
70.0,93.0,27.0,6.0,Low,1
67.0,73.0,25.0,7.0,High,1
64.0,69.0,25.0,7.0,High,0
67.0,71.0,28.0,8.0,Medium,0
69.0,80.0,20.0,8.0,High,1
63.0,80.0,18.0,8.0,Medium,0
70.0,89.0,19.0,7.0,Medium,1
66.0,92.0,21.0,8.0,Low,1
68.0,72.0,24.0,6.0,High,1
67.0,87.0,15.0,4.0,Low,0
69.0,77.0,33.0,5.0,High,1
66.0,96.0,14.0,9.0,Low,0
68.0,94.0,13.0,7.0,Medium,1
69.0,81.0,27.0,7.0,Medium,1
70.0,88.0,25.0,7.0,Medium,1
74.0,95.0,24.0,8.0,High,1
70.0,80.0,24.0,7.0,High,1
66.0,73.0,20.0,7.0,Medium,0
69.0,90.0,15.0,8.0,Medium,1
64.0,69.0,20.0,6.0,High,0
62.0,76.0,16.0,8.0,High,0
70.0,95.0,26.0,7.0,High,1
68.0,89.0,19.0,7.0,Medium,1
65.0,76.0,15.0,6.0,Medium,0
65.0,69.0,18.0,7.0,High,0
71.0,74.0,22.0,6.0,High,1
66.0,71.0,17.0,9.0,Medium,0
61.0,67.0,15.0,4.0,Medium,0
67.0,90.0,21.0,8.0,Medium,1
65.0,70.0,21.0,4.0,High,0
65.0,78.0,17.0,8.0,High,0
65.0,75.0,17.0,6.0,High,0
62.0,76.0,11.0,7.0,Medium,0
60.0,63.0,12.0,5.0,High,0
61.0,64.0,16.0,9.0,Medium,0
67.0,84.0,19.0,8.0,Medium,1
70.0,84.0,22.0,8.0,Medium,1
69.0,77.0,29.0,6.0,High,1
66.0,77.0,25.0,8.0,Low,0
64.0,62.0,19.0,5.0,Medium,0
68.0,81.0,20.0,4.0,Medium,1
67.0,80.0,14.0,5.0,Medium,0
64.0,66.0,20.0,6.0,Medium,0
65.0,64.0,18.0,6.0,Medium,0
66.0,65.0,22.0,6.0,High,0
68.0,84.0,23.0,6.0,Medium,1
66.0,68.0,29.0,4.0,High,0
63.0,70.0,19.0,7.0,Medium,0
63.0,67.0,22.0,7.0,Medium,0
74.0,98.0,24.0,6.0,Medium,1
70.0,94.0,18.0,9.0,High,1
68.0,69.0,21.0,7.0,High,0
66.0,73.0,20.0,7.0,Medium,0
63.0,68.0,21.0,8.0,Low,0
62.0,61.0,20.0,7.0,Medium,0
71.0,87.0,23.0,8.0,High,1
72.0,81.0,29.0,7.0,Medium,1
72.0,96.0,26.0,5.0,Medium,1
68.0,67.0,33.0,6.0,Medium,1
66.0,92.0,15.0,7.0,Low,0
70.0,92.0,25.0,4.0,Medium,1
66.0,65.0,21.0,5.0,Low,0
72.0,76.0,33.0,10.0,Medium,1
64.0,67.0,15.0,8.0,Medium,0
61.0,71.0,16.0,8.0,Medium,0
62.0,82.0,7.0,8.0,High,0
68.0,76.0,17.0,7.0,High,1
68.0,98.0,15.0,8.0,Medium,1
63.0,65.0,21.0,9.0,Medium,0
70.0,99.0,22.0,8.0,Low,1
68.0,69.0,31.0,7.0,Low,1
72.0,91.0,26.0,7.0,Medium,1
61.0,66.0,15.0,6.0,High,0
69.0,94.0,23.0,8.0,Medium,1
61.0,72.0,12.0,6.0,Low,0
75.0,86.0,31.0,6.0,High,1
68.0,83.0,27.0,5.0,Low,1
65.0,79.0,17.0,6.0,Low,0
75.0,89.0,28.0,10.0,High,1
64.0,64.0,19.0,6.0,Medium,0
70.0,87.0,27.0,8.0,Medium,1
67.0,96.0,10.0,6.0,High,1
63.0,62.0,16.0,7.0,Medium,0
67.0,89.0,20.0,4.0,Medium,1
67.0,76.0,24.0,6.0,High,1
63.0,65.0,14.0,5.0,Medium,0
66.0,80.0,19.0,7.0,Medium,0
67.0,79.0,23.0,5.0,Medium,1
69.0,91.0,24.0,7.0,Medium,1
66.0,70.0,13.0,6.0,High,0
64.0,79.0,11.0,7.0,Medium,0
73.0,100.0,28.0,6.0,Low,1
66.0,87.0,22.0,8.0,Medium,1
68.0,94.0,16.0,9.0,Medium,1
70.0,77.0,29.0,8.0,Low,1
62.0,65.0,20.0,6.0,Low,0
68.0,68.0,32.0,8.0,Low,0
72.0,76.0,31.0,9.0,High,1
69.0,94.0,19.0,8.0,Medium,1
66.0,74.0,26.0,5.0,Low,0
70.0,86.0,24.0,6.0,High,1
71.0,88.0,28.0,8.0,Medium,1
65.0,83.0,14.0,7.0,Medium,0
70.0,74.0,24.0,6.0,Medium,1
65.0,83.0,26.0,7.0,Low,0
62.0,74.0,9.0,7.0,High,0
62.0,63.0,13.0,5.0,Medium,0
70.0,100.0,7.999999999999998,8.0,Medium,1
72.0,95.0,29.0,9.0,Low,1
66.0,72.0,20.0,7.0,Low,0
68.0,86.0,30.0,8.0,Low,1
62.0,73.0,12.0,5.0,Medium,0
64.0,76.0,10.0,8.0,Medium,0
65.0,70.0,20.0,8.0,Medium,0
64.0,76.0,20.0,7.0,Low,0
68.0,98.0,12.0,8.0,Medium,1
64.0,62.0,24.0,6.0,Medium,0
68.0,80.0,22.0,7.0,Medium,1
64.0,83.0,14.0,9.0,Low,0
71.0,97.0,17.0,9.0,High,1
61.0,62.0,14.0,8.0,High,0
64.0,70.0,14.0,9.0,Medium,0
72.0,95.0,23.0,7.0,Medium,1
68.0,89.0,15.0,6.0,Medium,1
71.0,97.0,19.0,8.0,Low,1
66.0,78.0,17.0,8.0,Medium,0
74.0,97.0,32.0,5.0,High,1
66.0,79.0,20.0,7.0,Low,0
63.0,61.0,16.0,8.0,Low,0
72.0,88.0,21.0,6.0,Medium,1
69.0,79.0,19.0,7.0,High,1
67.0,65.0,19.0,9.0,High,0
66.0,69.0,24.0,5.0,High,0
64.0,63.0,25.0,7.0,Medium,0
64.0,93.0,6.0,7.0,Medium,0
65.0,94.0,11.0,8.0,Low,0
72.0,85.0,28.0,7.0,High,1
66.0,61.0,30.0,8.0,High,0
66.0,88.0,19.0,7.0,Low,0
67.0,77.0,23.0,7.0,High,1
69.0,83.0,22.0,8.0,Medium,1
69.0,74.0,27.0,6.0,High,1
68.0,97.0,19.0,8.0,Low,1
61.0,65.0,14.0,7.0,Medium,0
63.0,87.0,10.0,6.0,Low,0
63.0,60.0,21.0,8.0,High,0
68.0,97.0,15.0,9.0,Medium,1
63.0,65.0,11.0,7.0,High,0
66.0,64.0,16.0,7.0,Medium,0
65.0,73.0,14.0,5.0,Medium,0
68.0,75.0,30.0,7.0,High,1
66.0,69.0,25.0,7.0,Medium,0
66.0,83.0,20.0,7.0,Low,0
70.0,78.0,29.0,6.0,Medium,1
61.0,61.0,20.0,8.0,Low,0
61.0,73.0,15.0,7.0,Low,0
71.0,92.0,29.0,10.0,Medium,1
67.0,88.0,23.0,7.0,Medium,1
70.0,89.0,14.0,4.0,High,1
69.0,88.0,19.0,5.0,Medium,1
65.0,72.0,15.0,8.0,High,0
61.0,64.0,12.0,6.0,Low,0
68.0,71.0,26.0,6.0,Low,0
74.0,93.0,31.0,5.0,Low,1
67.0,99.0,12.0,6.0,Medium,1
59.0,60.0,16.0,8.0,Medium,0
64.0,66.0,17.0,5.0,High,0
66.0,73.0,16.0,8.0,Medium,0
63.0,83.0,15.0,5.0,Low,0
61.0,63.0,20.0,8.0,Low,0
68.0,98.0,15.0,8.0,High,1
65.0,75.0,22.0,6.0,Medium,0
69.0,97.0,20.0,5.0,High,1
68.0,91.0,19.0,8.0,Low,1
69.0,90.0,15.0,6.0,Low,1
67.0,84.0,17.0,7.0,Low,0
70.0,85.0,25.0,8.0,High,1
68.0,86.0,23.0,8.0,Medium,1
67.0,85.0,14.0,6.0,Medium,0
75.0,99.0,25.0,6.0,Medium,1
63.0,89.0,10.0,8.0,Low,0
70.0,91.0,23.0,9.0,Medium,1
70.0,95.0,16.0,6.0,Low,1
64.0,69.0,23.0,7.0,High,0
59.0,63.0,15.0,8.0,Low,0
63.0,79.0,9.0,7.0,Low,0
67.0,81.0,10.0,8.0,Medium,0
68.0,93.0,20.0,7.0,High,1
68.0,78.0,22.0,5.0,Medium,1
66.0,81.0,24.0,9.0,Low,0
61.0,62.0,10.0,7.0,Low,0
70.0,85.0,20.0,9.0,Medium,1
65.0,93.0,13.0,4.0,Low,0
64.0,66.0,16.0,8.0,Medium,0
69.0,84.0,20.0,6.0,High,1
64.0,84.0,15.0,6.0,High,0
61.0,67.0,18.0,9.0,Low,0
64.0,65.0,26.0,7.0,Medium,0
68.0,99.0,17.0,6.0,High,1
67.0,76.0,25.0,8.0,High,1
62.0,69.0,13.0,4.0,Low,0
66.0,67.0,23.0,9.0,Medium,0
72.0,87.0,29.0,10.0,High,1
65.0,64.0,23.0,7.0,Medium,0
68.0,96.0,19.0,5.0,Low,1
65.0,76.0,22.0,9.0,Low,0
64.0,73.0,16.0,8.0,Low,0
65.0,78.0,21.0,8.0,Low,0
65.0,76.0,19.0,8.0,High,0
73.0,95.0,27.0,7.0,Medium,1
72.0,97.0,22.0,6.0,High,1
64.0,72.0,22.0,10.0,Medium,0
69.0,95.0,18.0,7.0,Medium,1
69.0,91.0,17.0,6.0,Medium,1
70.0,97.0,17.0,9.0,High,1
68.0,83.0,17.0,7.0,Medium,1
75.0,93.0,32.0,8.0,Medium,1
67.0,60.0,25.0,8.0,High,0
69.0,83.0,18.0,5.0,High,1
71.0,74.0,27.0,8.0,Medium,1
66.0,73.0,18.0,5.0,Low,0
65.0,86.0,7.999999999999998,6.0,High,0
70.0,94.0,14.0,7.0,Medium,1
66.0,84.0,9.0,7.0,Low,0
74.0,94.0,18.0,8.0,Medium,1
68.0,81.0,30.0,8.0,High,1
68.0,78.0,22.0,5.0,High,1
62.0,60.0,19.0,10.0,High,0
71.0,82.0,25.0,7.0,High,1
63.0,86.0,7.0,9.0,Low,0
69.0,84.0,21.0,4.0,High,1
71.0,89.0,25.0,7.0,Medium,1
66.0,83.0,11.0,5.0,Low,0
64.0,63.0,27.0,6.0,High,0
65.0,65.0,22.0,7.0,Medium,0
66.0,71.0,24.0,9.0,Low,0
67.0,63.0,34.0,10.0,High,0
65.0,82.0,21.0,6.0,Low,0
67.0,73.0,17.0,5.0,Medium,0
66.0,89.0,15.0,9.0,Medium,0
69.0,86.0,25.0,7.0,Medium,1
70.0,90.0,20.0,7.0,Medium,1
68.0,86.0,17.0,7.0,Medium,1
68.0,60.0,26.0,7.0,Medium,0
67.0,75.0,18.0,5.0,Medium,0
72.0,98.0,14.0,7.0,High,1
69.0,93.0,17.0,6.0,Low,1
69.0,84.0,22.0,7.0,Medium,1
64.0,70.0,25.0,8.0,Medium,0
63.0,68.0,14.0,6.0,Medium,0
70.0,74.0,25.0,9.0,High,1
70.0,79.0,28.0,4.0,Medium,1
66.0,72.0,22.0,9.0,Medium,0
70.0,81.0,31.0,9.0,Medium,1
66.0,67.0,15.0,6.0,High,0
68.0,99.0,13.0,6.0,Medium,1
61.0,64.0,9.0,5.0,Medium,0
72.0,97.0,29.0,8.0,Medium,1
69.0,97.0,24.0,7.0,Low,1
72.0,89.0,22.0,5.0,High,1
65.0,77.0,13.0,10.0,Medium,0
74.0,85.0,35.0,6.0,High,1
62.0,74.0,21.0,7.0,Low,0
65.0,72.0,21.0,7.0,Medium,0
68.0,83.0,24.0,6.0,High,1
71.0,83.0,21.0,6.0,Medium,1
62.0,71.0,15.0,8.0,High,0
65.0,75.0,23.0,6.0,High,0
68.0,63.0,31.0,9.0,High,1
63.0,63.0,17.0,4.0,Medium,0
63.0,64.0,14.0,6.0,High,0
69.0,93.0,19.0,6.0,High,1
66.0,62.0,20.0,5.0,Medium,0
70.0,86.0,27.0,7.0,Medium,1
63.0,71.0,10.0,7.0,Medium,0
72.0,95.0,29.0,4.0,Medium,1
65.0,79.0,19.0,10.0,Medium,0
67.0,72.0,17.0,7.0,High,0
63.0,81.0,14.0,7.0,Medium,0
65.0,75.0,10.0,9.0,Medium,0
67.0,83.0,25.0,8.0,Medium,1
68.0,100.0,12.0,4.0,Medium,1
63.0,77.0,12.0,8.0,Medium,0
64.0,74.0,18.0,6.0,Medium,0
73.0,88.0,30.0,9.0,Medium,1
66.0,75.0,18.0,6.0,Medium,0
66.0,93.0,11.0,6.0,Medium,0
66.0,78.0,19.0,5.0,High,0
59.0,64.0,4.0,7.0,High,0
68.0,94.0,20.0,7.0,Medium,1
67.0,89.0,19.0,6.0,Medium,1
64.0,68.0,24.0,10.0,Medium,0
65.0,66.0,31.0,8.0,High,0
68.0,73.0,27.0,7.0,Medium,1
70.0,99.0,18.0,4.0,High,1
62.0,70.0,13.0,8.0,Medium,0
72.0,78.0,35.0,10.0,Low,1
62.0,61.0,20.0,7.0,Low,0
68.0,76.0,20.0,6.0,High,1
69.0,83.0,20.0,7.0,Medium,1
73.0,98.0,21.0,5.0,Medium,1
69.0,81.0,19.0,8.0,High,1
67.0,93.0,17.0,9.0,Medium,1
65.0,82.0,17.0,6.0,Low,0
63.0,62.0,20.0,6.0,Low,0
66.0,73.0,17.0,7.0,Medium,0
66.0,83.0,16.0,6.0,Medium,0
70.0,98.0,21.0,5.0,High,1
69.0,94.0,18.0,6.0,Medium,1
70.0,69.0,29.0,6.0,High,1
67.0,68.0,27.0,9.0,Medium,0
66.0,94.0,7.999999999999998,8.0,Low,0
70.0,91.0,18.0,7.0,High,1
67.0,76.0,18.0,6.0,High,0
60.0,80.0,12.0,9.0,Low,0
65.0,79.0,15.0,8.0,Medium,0
63.0,70.0,13.0,5.0,Medium,0
72.0,80.0,31.0,6.0,High,1
62.0,61.0,26.0,5.0,Medium,0
70.0,95.0,24.0,8.0,Low,1
64.0,90.0,13.0,5.0,Medium,0
64.0,77.0,17.0,6.0,Medium,0
72.0,90.0,24.0,6.0,Medium,1
66.0,91.0,19.0,9.0,Low,0
66.0,91.0,18.0,5.0,Medium,1
71.0,89.0,24.0,5.0,High,1
64.0,74.0,18.0,6.0,Low,0
66.0,79.0,27.0,6.0,Low,0
62.0,73.0,14.0,5.0,Low,0
69.0,73.0,24.0,7.0,Medium,1
65.0,66.0,18.0,7.0,Medium,0
70.0,76.0,22.0,6.0,Medium,1
70.0,99.0,12.0,6.0,High,1
67.0,69.0,26.0,7.0,Medium,0
69.0,84.0,19.0,8.0,High,1
62.0,77.0,17.0,9.0,Medium,0
67.0,63.0,26.0,9.0,High,0
65.0,80.0,16.0,8.0,Medium,0
65.0,88.0,12.0,8.0,Medium,0
69.0,95.0,24.0,6.0,Low,1
66.0,63.0,31.0,7.0,High,0
67.0,97.0,7.999999999999998,8.0,High,1
69.0,75.0,30.0,8.0,Medium,1
67.0,83.0,21.0,8.0,Medium,1
70.0,92.0,19.0,5.0,Medium,1
67.0,73.0,17.0,7.0,High,0
70.0,89.0,22.0,6.0,Medium,1
65.0,65.0,20.0,6.0,High,0
63.0,72.0,27.0,4.0,Low,0
64.0,66.0,21.0,7.0,Medium,0
69.0,92.0,21.0,4.0,Medium,1
60.0,69.0,18.0,8.0,Medium,0
69.0,89.0,20.0,9.0,Medium,1
63.0,81.0,10.0,7.0,Low,0
63.0,82.0,12.0,9.0,Medium,0
68.0,79.0,19.0,7.0,High,1
69.0,84.0,20.0,10.0,Medium,1
72.0,99.0,22.0,5.0,Medium,1
67.0,98.0,17.0,5.0,High,1
68.0,94.0,15.0,8.0,Medium,1
70.0,96.0,21.0,7.0,High,1
69.0,86.0,22.0,5.0,Medium,1
68.0,96.0,10.0,4.0,Medium,1
66.0,76.0,26.0,5.0,Medium,0
72.0,98.0,23.0,9.0,Medium,1
67.0,77.0,22.0,7.0,Medium,0
70.0,84.0,26.0,4.0,High,1
73.0,88.0,30.0,9.0,Medium,1
73.0,98.0,26.0,9.0,Low,1
